scenario,mode,audit_budget,observer_error,runs,mttf_mean,mttf_std,accuracy_mean,tp_mean,tn_mean,fp_mean,fn_mean,total_audits_mean,audits_on_bad_mean,audits_on_good_mean,audit_precision_mean,recall_hit_rate_mean,audits_on_intermittent_mean,audits_on_persistent_mean,audits_on_benign_noisy_mean,audits_on_benign_stable_mean,intermittent_detection_rate_mean,persistent_detection_rate_mean,false_attention_rate_mean,mean_cycles_to_verify_intermittent,mean_cycles_to_verify_persistent,cumulative_residual_risk_mean,cumulative_residual_risk_std
medium_noise_mixed,random,3,0.15,10,1480.0,299.332591,0.313343,3.3,17.6,1.3,44.5,22.2,3.3,18.9,0.148649,0.069038,1.5,1.8,6.2,12.7,0.066079,0.071713,0.28496,1.933333,2.388889,174.6,40.316746
medium_noise_mixed,current_only,3,0.15,10,1640.0,366.606056,0.129851,8.7,0,15.9,42.4,24.6,8.7,15.9,0.353659,0.170254,4.8,3.9,10.1,5.8,0.184615,0.155378,0.391667,1.708333,1.846154,193,43.863424
medium_noise_mixed,history_based,3,0.15,10,1660.0,390.384426,0.231707,11.3,3.9,9.7,40.7,24.9,11.3,13.6,0.453815,0.217308,4.7,6.6,10.5,3.1,0.189516,0.242647,0.402897,2.340426,3.484848,187,41.395652
medium_noise_mixed,random,5,0.15,10,1720.0,401.995025,0.476471,8.6,31.9,2.5,42,43,8.6,34.4,0.2,0.16996,4.3,4.3,10.7,23.7,0.157509,0.184549,0.258135,3,2.767442,195.6,39.243343
medium_noise_mixed,current_only,5,0.15,10,2240.0,731.026675,0.237581,22,0,34,36.6,56,22,34,0.392857,0.375427,12.5,9.5,21.4,12.6,0.431034,0.320946,0.385816,2.28,2.578947,244.3,67.017983
medium_noise_mixed,history_based,5,0.15,10,2020.0,414.246304,0.367394,22.5,9.5,18.5,36.6,50.5,22.5,28,0.445545,0.380711,10.2,12.3,22.1,5.9,0.336634,0.427083,0.442466,2.529412,3.056911,204.7,41.431992
medium_noise_mixed,random,8,0.15,10,1660.0,420.0,0.577715,11.7,50,4.7,40.4,66.4,11.7,54.7,0.176205,0.224568,6.6,5.1,17.6,37.1,0.246269,0.201581,0.27023,2.681818,3,190.2,50.791338
medium_noise_mixed,current_only,8,0.15,10,4240.0,1209.297317,0.461496,75.9,8,85.7,12.2,169.6,75.9,93.7,0.447524,0.861521,38.6,37.3,55.3,38.4,0.883295,0.84009,0.326972,2.953368,3.563003,309,55.403971
medium_noise_mixed,history_based,8,0.15,10,3480.0,1357.055636,0.54133,57.2,29.9,52.1,21.7,139.2,57.2,82,0.41092,0.724968,27.1,30.1,62.9,19.1,0.702073,0.746898,0.46576,2.98524,3.106312,262.1,58.662509
