pa,tids,q_mttf_mean,q_mttf_std,q_accuracy_mean,q_accuracy_std,q_energy_spent_mean,q_energy_spent_std,q_cmvi_mean,q_cmvi_std,q_cmvi_ci95_low,q_cmvi_ci95_high,q_false_good_evictions_mean,q_bad_nodes_retained_mean,q_audit_mismatch_events_mean,ta_mttf_mean,ta_mttf_std,ta_accuracy_mean,ta_accuracy_std,ta_energy_spent_mean,ta_energy_spent_std,ta_cmvi_mean,ta_cmvi_std,ta_cmvi_ci95_low,ta_cmvi_ci95_high,ta_false_good_evictions_mean,ta_bad_nodes_retained_mean,ta_audit_mismatch_events_mean,delta_cmvi_percent,cmvi_improvement_pct,paired_ttest_pvalue,wilcoxon_pvalue
0.5,600,13125.0,2064.0676,0.985789,0.005269,570.1075,72.9034,11.5875,3.3418,10.8391,12.3359,9.1875,1.5875,0.8125,11737.5,2062.9091,0.987042,0.005017,569.4128,73.8038,9.8375,3.08,9.1478,10.5272,9.05,0.5875,0.2,15.1025,15.1025,0.0006214,0.00063898
0.5,1000,12850.0,2345.7408,0.965662,0.01164,395.0908,50.2142,17.2,4.6808,16.1518,18.2482,12.45,3.7,1.05,11300.0,2221.486,0.971482,0.00932,358.5048,49.5886,13.525,3.7914,12.676,14.374,12.05,1.1625,0.3125,21.3663,21.3663,3e-08,2.3e-07
0.5,1500,11850.0,2306.7835,0.936624,0.016185,357.8628,59.9655,23.65,4.7752,22.5806,24.7194,14.1875,7.0625,2.4,9862.5,2284.4242,0.948906,0.017861,256.27,37.6087,17.1,4.5869,16.0728,18.1272,14.5,1.7625,0.8375,27.6956,27.6956,0.0,0.0
0.75,50,12426.875,1927.4975,0.998095,0.000533,5739.925,588.0645,15.125,3.7762,14.2794,15.9706,14.7,0.225,0.2,11463.75,1774.2424,0.998042,0.000494,6151.9465,772.1521,15.55,3.3275,14.8048,16.2952,15.35,0.1,0.1,-2.8099,-2.8099,0.45615937,0.70373542
0.75,100,12395.0,2017.232,0.997199,0.000763,3007.2444,415.0664,11.925,2.8319,11.2908,12.5592,11.2625,0.3375,0.325,11847.5,1703.0102,0.997255,0.000841,3192.5312,366.0056,11.3375,2.7971,10.7111,11.9639,11.0875,0.125,0.125,4.9266,4.9266,0.19368973,0.14568882
0.75,200,12612.5,1929.8559,0.994223,0.001935,1523.1784,191.3767,12.4875,3.3764,11.7314,13.2436,11.5375,0.55,0.4,11202.5,1941.2609,0.994775,0.00189,1547.9908,208.4437,10.8125,3.3057,10.0722,11.5528,10.6,0.075,0.1375,13.4134,13.4134,0.00074429,0.0008046
0.75,350,13094.375,1865.7772,0.988387,0.003893,907.2196,98.1383,15.0875,3.8542,14.2244,15.9506,13.3,0.9,0.8875,10946.25,1878.2767,0.989167,0.003741,887.3822,114.5761,13.0,3.6435,12.1841,13.8159,12.5875,0.25,0.1625,13.836,13.836,0.00077996,0.00098792
0.75,600,12165.0,2337.258,0.971382,0.00781,569.1049,69.5269,22.375,4.2555,21.422,23.328,17.7,2.425,2.25,10717.5,1941.3124,0.976832,0.008108,529.8592,72.1492,16.6375,4.2019,15.6965,17.5785,15.8625,0.475,0.3,25.6425,25.6425,0.0,0.0
0.75,1000,10562.5,2578.0019,0.925943,0.019125,425.6554,68.4475,35.2,6.0196,33.852,36.548,24.5,6.4625,4.2375,9487.5,2291.2538,0.947249,0.016631,324.7355,49.0984,23.2,5.4713,21.9747,24.4253,21.075,1.25,0.875,34.0909,34.0909,0.0,0.0
0.75,1500,8531.25,3024.2186,0.852231,0.034899,466.6577,110.8855,51.3375,8.5337,49.4264,53.2486,30.1875,12.575,8.575,7743.75,2230.462,0.885659,0.034087,278.457,56.564,35.2375,7.5948,33.5367,36.9383,28.3375,4.1625,2.7375,31.3611,31.3611,0.0,0.0
1.0,50,12423.75,1792.6756,0.997806,0.000568,5771.3623,727.4214,17.5125,3.7148,16.6806,18.3444,17.075,0.175,0.2625,11288.125,1822.1252,0.997951,0.000544,6064.1642,783.5753,16.075,3.5978,15.2693,16.8807,15.925,0.0625,0.0875,8.2084,8.2084,0.01413352,0.01760758
1.0,100,12636.25,1989.3619,0.99639,0.000994,2955.1096,377.0652,15.3375,3.4926,14.5553,16.1197,14.4375,0.3,0.6,11486.25,1883.0656,0.996404,0.000997,3095.3104,401.3602,14.3375,3.5283,13.5474,15.1276,14.1875,0.025,0.125,6.52,6.52,0.09079764,0.05304142
1.0,200,12215.0,2078.1663,0.992183,0.002516,1476.4041,179.6749,16.8625,4.2301,15.9152,17.8098,15.2625,0.55,1.05,11800.0,1824.2807,0.993478,0.002033,1616.3954,192.2806,13.875,3.5999,13.0688,14.6812,13.475,0.1375,0.2625,17.7168,17.7168,2.46e-06,1.087e-05
1.0,350,12105.625,2182.0288,0.981175,0.005097,875.0323,103.5082,23.6125,4.1907,22.674,24.551,20.1875,1.275,2.15,10920.0,2004.8005,0.986255,0.003532,885.0897,117.2097,16.4625,3.2555,15.7334,17.1916,15.975,0.175,0.3125,30.2806,30.2806,0.0,0.0
1.0,600,10905.0,2664.3902,0.951168,0.013855,557.5112,80.3186,35.55,5.8671,34.2361,36.8639,28.0375,3.0375,4.475,9885.0,2152.8528,0.967191,0.009538,502.3535,76.3943,22.7125,4.8456,21.6274,23.7976,21.7125,0.3375,0.6625,36.1111,36.1111,0.0,0.0
1.0,1000,8625.0,2712.8168,0.8701,0.031897,472.3963,93.2966,56.1,8.9702,54.0912,58.1088,39.2125,7.5125,9.375,7925.0,2572.8146,0.90658,0.027979,314.1377,51.6527,37.4125,7.6186,35.7064,39.1186,33.4875,1.65,2.275,33.3111,33.3111,0.0,0.0
1.0,1500,5475.0,3065.84,0.752536,0.048262,561.0578,104.5777,75.95,9.0124,73.9317,77.9683,45.4625,13.7,16.7875,5343.75,2563.6811,0.772988,0.080128,359.792,123.4852,61.5375,14.2363,58.3494,64.7256,46.3125,6.6125,8.6125,18.9763,18.9763,0.0,0.0
