run_id,seed,method,pa,tids,mttf,accuracy,energy,cmvi,nfg,nbr,nam,false_good_evictions,bad_nodes_retained,audit_mismatch_events,audit_count,audit_update_count,collective_update_count
34,76,TA-QTCID,1.0,200,13200.0,0.9938107869142352,1777.1567028611898,14.0,14,0,0,14,0,0,0,0,2262
35,77,TA-QTCID,1.0,200,14600.0,0.9953810623556582,1891.7258179169148,10.0,10,0,0,10,0,0,0,0,2165
36,78,TA-QTCID,1.0,200,13000.0,0.9938587512794268,1684.0730063915253,12.0,12,0,0,12,0,0,0,0,1954
37,79,TA-QTCID,1.0,200,11800.0,0.9923518164435946,1609.3488572668284,16.0,16,0,0,16,0,0,0,0,2092
38,80,TA-QTCID,1.0,200,11600.0,0.9911041339612768,1570.3941711187363,18.0,17,0,1,17,0,1,1,1,1910
39,81,TA-QTCID,1.0,200,9600.0,0.9953350296861747,1480.198937907815,11.0,11,0,0,11,0,0,0,0,2358
40,82,TA-QTCID,1.0,200,12000.0,0.9923591212989494,1631.4475796986371,16.0,16,0,0,16,0,0,0,0,2094
41,83,TA-QTCID,1.0,200,11200.0,0.9916628068550255,1571.0866109412163,18.0,17,1,0,17,1,0,0,0,2159
42,84,TA-QTCID,1.0,200,12000.0,0.9957142857142857,1631.704771636054,9.0,9,0,0,9,0,0,0,0,2100
43,85,TA-QTCID,1.0,200,14400.0,0.993862134088763,1915.1302840020508,15.0,13,0,2,13,0,2,2,2,2116
44,86,TA-QTCID,1.0,200,10600.0,0.9945054945054945,1439.46369221434,10.0,9,1,0,9,1,0,0,0,1820
45,87,TA-QTCID,1.0,200,14000.0,0.9950428120775124,1839.5752070937306,11.0,11,0,0,11,0,0,0,0,2219
46,88,TA-QTCID,1.0,200,11600.0,0.991779213153259,1487.7168560083956,14.0,14,0,0,14,0,0,0,0,1703
47,89,TA-QTCID,1.0,200,12200.0,0.9905482041587902,1644.0302005093545,20.0,20,0,0,20,0,0,0,0,2116
48,90,TA-QTCID,1.0,200,9200.0,0.994967978042086,1395.87955121696,11.0,11,0,0,11,0,0,0,0,2186
49,91,TA-QTCID,1.0,200,11200.0,0.9923273657289002,1520.9341836236417,15.0,15,0,0,15,0,0,0,0,1955
