pa,tids,method,lambda_fg,lambda_br,lambda_am,nfg_mean,nbr_mean,nam_mean,nfg_contribution,nbr_contribution,nam_contribution,cmvi_mean
0.75,1500,TA-QTCID,1.0,1.0,1.0,28.3375,4.1625,2.7375,28.3375,4.1625,2.7375,35.2375
1.0,50,Q-TCID,1.0,1.0,1.0,17.075,0.175,0.2625,17.075,0.175,0.2625,17.5125
1.0,50,TA-QTCID,1.0,1.0,1.0,15.925,0.0625,0.0875,15.925,0.0625,0.0875,16.075
1.0,100,Q-TCID,1.0,1.0,1.0,14.4375,0.3,0.6,14.4375,0.3,0.6,15.3375
1.0,100,TA-QTCID,1.0,1.0,1.0,14.1875,0.025,0.125,14.1875,0.025,0.125,14.3375
1.0,200,Q-TCID,1.0,1.0,1.0,15.2625,0.55,1.05,15.2625,0.55,1.05,16.8625
1.0,200,TA-QTCID,1.0,1.0,1.0,13.475,0.1375,0.2625,13.475,0.1375,0.2625,13.875
1.0,350,Q-TCID,1.0,1.0,1.0,20.1875,1.275,2.15,20.1875,1.275,2.15,23.6125
1.0,350,TA-QTCID,1.0,1.0,1.0,15.975,0.175,0.3125,15.975,0.175,0.3125,16.4625
1.0,600,Q-TCID,1.0,1.0,1.0,28.0375,3.0375,4.475,28.0375,3.0375,4.475,35.55
1.0,600,TA-QTCID,1.0,1.0,1.0,21.7125,0.3375,0.6625,21.7125,0.3375,0.6625,22.7125
1.0,1000,Q-TCID,1.0,1.0,1.0,39.2125,7.5125,9.375,39.2125,7.5125,9.375,56.1
1.0,1000,TA-QTCID,1.0,1.0,1.0,33.4875,1.65,2.275,33.4875,1.65,2.275,37.4125
1.0,1500,Q-TCID,1.0,1.0,1.0,45.4625,13.7,16.7875,45.4625,13.7,16.7875,75.95
1.0,1500,TA-QTCID,1.0,1.0,1.0,46.3125,6.6125,8.6125,46.3125,6.6125,8.6125,61.5375
